StudentNumber,Name,PositiveWishes
482910,Emma Smith,"847519, 103948"
847519,Liam Johnson,294857
103948,Olivia Williams,"482910, 758392, 920481"
294857,Noah Brown,
758392,Ava Jones,"103948, 847519"
920481,Ethan Miller,384729
384729,Sophia Davis,"294857, 482910, 103948"
619284,Mason Wilson,"582910, 748392"
582910,Isabella Moore,
748392,James Taylor,"619284, 847519"
392014,Charlotte Anderson,"920481, 103948"
857492,Benjamin Thomas,392014
192834,Amelia Jackson,"857492, 482910, 294857"
683920,Lucas White,
502938,Mia Harris,"192834, 683920"
819203,Henry Martin,"502938, 384729"
203948,Harper Thompson,"819203, 758392, 103948"
495832,Evelyn Garcia,"203948, 482910"
918273,Alexander Martinez,
627384,Abigail Robinson,"495832, 918273, 857492"
142536,Daniel Clark,627384
738495,Emily Rodriguez,"142536, 103948, 847519"
364758,Matthew Lewis,
891023,Elizabeth Lee,"738495, 364758"
514236,Aiden Walker,"891023, 627384"
983726,Sofia Hall,"514236, 142536, 294857"
273849,Jackson Allen,"983726, 482910"
654789,Aurelia Young,
412356,Logan King,"654789, 273849, 819203"
893412,Chloe Wright,"412356, 103948"
