StudentNumber,Name,PositiveWishes,PreviousGroupMembers
482910,Emma Smith,"847519, 103948","847519, 103948, 294857"
847519,Liam Johnson,294857,"482910, 103948, 294857"
103948,Olivia Williams,"482910, 758392, 920481","482910, 847519, 294857"
294857,Noah Brown,,"482910, 847519, 103948"
758392,Ava Jones,"103948, 847519","920481, 384729, 619284"
920481,Ethan Miller,384729,"758392, 384729, 619284"
384729,Sophia Davis,"294857, 482910, 103948","758392, 920481, 619284"
619284,Mason Wilson,"582910, 748392","758392, 920481, 384729"
582910,Isabella Moore,,"748392, 392014, 857492"
748392,James Taylor,"619284, 847519","582910, 392014, 857492"
392014,Charlotte Anderson,"920481, 103948","582910, 748392, 857492"
857492,Benjamin Thomas,392014,"582910, 748392, 392014"
192834,Amelia Jackson,"857492, 482910, 294857","683920, 502938, 819203"
683920,Lucas White,,"192834, 502938, 819203"
502938,Mia Harris,"192834, 683920","192834, 683920, 819203"
819203,Henry Martin,"502938, 384729","192834, 683920, 502938"
203948,Harper Thompson,"819203, 758392, 103948","495832, 918273, 627384"
495832,Evelyn Garcia,"203948, 482910","203948, 918273, 627384"
918273,Alexander Martinez,,"203948, 495832, 627384"
627384,Abigail Robinson,"495832, 918273, 857492","203948, 495832, 918273"
142536,Daniel Clark,627384,"738495, 364758, 891023, 514236"
738495,Emily Rodriguez,"142536, 103948, 847519","142536, 364758, 891023, 514236"
364758,Matthew Lewis,,"142536, 738495, 891023, 514236"
891023,Elizabeth Lee,"738495, 364758","142536, 738495, 364758, 514236"
514236,Aiden Walker,"891023, 627384","142536, 738495, 364758, 891023"
983726,Sofia Hall,"514236, 142536, 294857","273849, 654789, 412356, 893412"
273849,Jackson Allen,"983726, 482910","983726, 654789, 412356, 893412"
654789,Aurelia Young,,"983726, 273849, 412356, 893412"
412356,Logan King,"654789, 273849, 819203","983726, 273849, 654789, 893412"
893412,Chloe Wright,"412356, 103948","983726, 273849, 654789, 412356"
